clientes;prediccion
1000024;0
1000026;0
1000036;0
1000038;0
100006;0
1000074;0
1000092;0
1000116;0
1000122;0
1000126;1
100014;0
1000148;0
1000162;1
1000164;1
1000174;0
1000178;1
1000186;0
1000188;0
1000190;0
1000198;0
100020;0
1000202;0
1000212;0
1000226;0
1000230;1
1000256;0
1000290;0
100030;0
1000350;0
1000356;0
1000360;0
1000370;1
1000372;1
1000382;0
1000384;0
1000390;0
1000394;0
1000402;0
1000404;0
1000406;0
1000414;0
100042;0
1000424;0
1000430;0
1000434;0
1000446;0
1000450;0
1000472;0
1000490;0
1000504;1
1000512;0
100052;0
1000520;0
1000534;0
100054;0
1000574;0
1000600;0
1000612;0
1000624;0
1000626;0
1000630;0
1000638;0
1000648;0
1000650;0
1000652;0
1000654;0
1000656;1
1000682;0
1000688;0
1000694;1
1000710;0
100072;0
1000742;0
1000772;0
100078;1
1000810;0
1000814;0
1000816;0
1000826;1
1000828;0
1000840;0
1000930;0
1000932;0
1000942;1
1000986;0
1001010;0
1001054;1
1001056;0
1001058;0
100108;0
1001086;0
100110;0
1001124;0
1001150;0
1001156;0
1001158;0
1001160;0
1001166;0
1001178;0
1001182;0
1001186;0
1001210;0
1001222;0
1001234;1
1001242;0
1001246;0
1001264;0
1001270;0
1001278;0
1001290;0
1001298;0
1001306;0
1001318;0
1001330;1
1001340;0
1001358;0
1001374;0
1001386;0
1001390;1
1001394;1
1001408;0
1001442;0
1001448;0
1001452;0
1001454;0
1001460;0
1001498;0
1001502;0
1001528;0
1001536;0
100154;0
1001556;0
1001558;0
1001562;0
1001600;0
1001610;0
1001614;0
1001616;0
100162;0
1001632;0
1001636;0
1001646;0
1001648;0
1001654;0
1001676;0
1001680;0
1001704;0
1001710;0
1001714;0
1001716;0
1001722;0
1001724;0
1001728;0
1001734;0
1001736;0
1001738;0
1001740;0
1001754;0
1001756;0
100176;0
1001764;0
1001766;0
1001782;0
1001784;0
1001786;0
1001792;0
1001796;0
100180;0
1001800;0
1001802;0
1001808;0
1001812;0
1001814;0
1001816;0
1001840;0
1001852;0
1001862;0
1001864;0
1001870;0
1001882;0
1001886;0
1001890;0
1001900;0
1001906;0
1001912;0
1001914;0
1001920;0
1001922;0
1001924;0
1001932;0
1001936;0
1001944;0
1001946;0
1001958;0
100196;0
1001968;0
1001970;0
100198;0
1001992;0
1001998;0
1002000;0
1002006;0
1002010;0
1002016;0
100202;0
1002028;0
1002030;0
1002038;0
1002064;0
1002074;1
1002076;0
1002082;0
1002094;0
1002114;0
1002116;0
1002124;0
1002140;0
1002144;0
1002148;0
100216;0
1002162;0
1002168;0
1002178;0
100218;0
100220;0
1002202;0
1002204;0
1002222;0
1002234;0
1002236;0
1002250;0
1002284;1
1002294;0
1002296;0
1002358;0
1002370;0
1002390;0
1002398;0
1002412;1
1002426;0
100252;0
100262;1
100264;0
100266;1
100276;0
100284;0
100310;0
100324;0
100326;0
1003284;0
1003296;0
1003304;0
1003306;0
1003316;0
1003336;0
100334;0
1003342;0
1003350;0
1003358;0
1003360;0
1003362;0
1003370;0
1003372;0
1003374;0
1003382;0
1003386;0
1003388;0
1003390;0
1003392;0
1003394;0
1003396;0
1003398;0
100340;0
1003400;1
1003410;0
1003412;0
1003414;0
100342;0
1003428;0
1003438;0
100344;1
1003444;0
1003452;1
1003480;0
1003494;0
1003514;0
1003518;0
1003520;0
1003534;0
1003544;0
1003546;0
1003554;0
1003594;1
1003636;0
1003642;1
1003662;1
1003664;0
1003670;1
1003678;0
1003694;0
1003708;0
1003714;0
100372;1
1003734;0
1003738;0
1003752;1
1003760;0
1003764;0
1003768;1
1003786;0
1003796;0
1003802;0
1003832;0
1003836;0
1003854;0
1003858;0
1003860;0
1003904;0
1003906;0
1003908;0
100392;0
100394;0
1003954;0
1003964;0
1003978;0
100398;0
1003986;0
100400;0
1004020;1
1004030;0
1004036;0
1004048;0
1004070;0
1004074;0
1004082;0
1004096;0
1004106;0
1004116;0
1004132;0
1004134;0
1004164;0
100418;0
1004186;0
1004192;0
100422;1
100424;0
1004278;0
100428;0
1004280;0
100430;0
1004316;0
1004318;0
1004366;0
100438;0
1004388;0
1004390;0
1004392;0
100440;0
1004400;0
1004414;0
1004416;0
1004424;0
1004430;0
1004434;0
1004438;0
100444;0
1004440;0
1004442;0
1004456;0
1004474;0
100448;0
1004520;0
1004536;0
1004570;0
1004572;0
1004576;1
1004586;0
1004592;0
1004606;0
1004626;0
1004630;0
1004642;0
1004646;0
100468;0
1004696;0
1004698;0
1004704;0
100472;0
100476;0
100478;1
1004824;0
100486;0
1004878;0
100488;1
1004902;0
1004934;0
100494;0
1004942;0
1005070;0
1005072;0
1005086;0
1005114;0
1005140;0
1005148;0
1005172;0
1005176;0
1005182;0
1005192;0
1005196;1
100520;0
1005272;0
1005276;0
100528;0
1005280;0
1005296;0
1005298;0
1005310;0
100532;1
1005328;0
1005332;0
1005340;0
1005352;0
1005354;0
1005368;0
100538;0
1005400;0
1005428;0
1005432;0
100544;0
1005440;0
1005444;0
1005446;0
1005448;0
1005450;0
1005458;0
100546;1
1005474;0
1005508;0
1005514;0
1005524;0
1005526;0
1005544;0
1005556;0
100556;0
1005600;0
1005624;0
100566;0
1005694;0
1005698;0
100578;0
1005784;0
1005818;0
1005826;0
100584;0
100590;0
1005972;0
100598;0
1005992;0
1005994;0
1005996;0
100600;0
1006012;0
100602;0
100604;0
1006060;0
1006072;0
100608;0
1006080;0
1006128;0
100614;0
1006174;0
1006182;0
100624;0
1006240;0
1006242;0
100626;0
1006272;0
1006282;0
1006284;1
1006298;0
1006310;0
1006318;0
1006330;0
1006338;1
100634;0
1006378;0
1006382;0
1006384;0
1006392;0
100640;1
1006410;1
100642;0
1006430;0
1006432;0
1006446;0
100648;0
1006486;0
1006488;0
1006490;0
1006502;0
1006540;0
1006552;0
1006570;0
100658;0
1006580;0
1006614;0
1006616;0
1006618;0
1006620;0
1006674;0
1006692;1
100670;0
1006700;0
1006706;0
1006722;0
1006766;0
1006774;1
100678;0
100680;1
1006822;0
100684;0
1006844;0
1006870;0
100690;0
1006942;0
1006950;0
1006958;1
1006962;1
1006964;0
1006968;0
100698;0
100700;0
1007018;0
1007026;0
1007040;0
1007056;0
1007070;0
1007096;0
1007110;0
100712;0
100716;0
100720;0
1007240;0
1007246;0
1007248;0
1007254;0
1007286;0
1007344;1
1007376;1
1007420;0
1007424;0
1007430;0
100744;0
100746;0
1007460;0
1007462;0
1007472;1
100750;0
1007502;0
1007512;0
100752;0
100754;0
1007558;0
1007564;0
1007624;0
1007658;0
100766;0
1007676;0
1007698;0
1007718;0
1007766;0
1007796;0
100782;0
1007834;0
100784;0
1007842;0
1007866;0
1007872;0
100788;0
1007918;0
1007936;0
1007990;0
1008014;0
100804;0
1008046;0
1008058;0
100806;0
1008076;0
1008088;0
100818;0
100824;0
100826;0
100834;0
100836;0
100846;0
100856;0
100860;0
100874;1
100878;0
100894;0
100900;0
100904;0
100914;0
100916;0
100920;0
100924;0
100926;0
100928;0
100930;0
100934;0
100940;0
100944;0
100946;0
100956;1
100958;0
1009654;0
1009668;0
100968;0
100972;0
1009822;0
100988;0
100998;0
101014;0
101016;0
101018;0
101024;0
101032;0
101038;0
101040;1
101048;0
101052;0
101066;0
101068;0
1010690;0
101072;0
101074;0
101076;1
1010796;0
1010800;0
1010834;0
101084;1
101088;0
1011040;0
101106;0
1011064;0
101110;0
101114;0
101124;0
1011266;1
101128;0
101138;0
101148;0
101162;1
101166;0
1011686;0
101172;0
101176;0
101178;0
1011784;0
1011888;0
101190;0
1011950;0
1011952;0
1011972;0
101200;0
1012064;0
1012080;0
101210;0
1012124;0
1012140;0
1012152;0
1012290;0
1012294;1
101234;0
1012350;0
101240;0
1012452;0
1012472;0
101250;0
1012614;0
1012666;0
101282;0
101286;0
1012860;1
1012864;0
1012872;0
1012914;0
1012940;0
101296;0
1013026;0
1013036;0
101312;0
1013278;0
1013348;0
101342;0
1013464;0
101352;0
1013522;0
101356;0
101358;0
101362;0
1013660;0
1013680;0
101376;0
1013762;0
1013786;0
1013840;0
1013946;0
101396;0
1014128;0
101414;0
1014150;0
1014186;0
1014196;0
101420;0
101422;0
1014234;0
101426;0
1014276;0
101430;0
1014306;0
101440;0
1014478;0
101454;0
1014612;0
101462;0
1014634;0
101466;0
1014696;0
1014734;0
1014756;0
101476;0
1014810;0
1014824;0
1014834;0
101484;0
1014876;0
101488;0
101490;0
101502;1
101512;0
101516;0
1015174;0
1015176;0
101522;0
1015228;0
1015230;0
1015272;0
101534;1
101540;0
101572;0
101574;0
101584;0
101586;1
101598;0
101606;0
101608;0
101610;1
1016232;0
101624;0
1016298;0
101638;0
101648;0
1016574;0
101662;0
101666;1
101668;0
101670;0
1016706;0
101676;0
101680;0
1016928;0
1016938;0
1016942;0
1016944;0
101696;0
1016964;0
1016992;0
101704;0
1017104;0
101712;0
101714;0
1017172;0
1017174;0
1017186;0
101722;0
101724;0
101728;0
1017290;0
1017312;0
1017316;0
101738;0
101744;0
1017522;0
1017670;0
1017672;0
101774;0
1017764;0
1017970;0
101804;0
1018046;0
1018114;0
101822;1
1018364;0
101838;0
1018494;0
101854;0
101858;0
1018628;0
1018782;0
1018790;0
1018814;0
101882;0
1018820;0
101884;0
1018846;0
1018852;0
101886;0
1018884;0
101890;1
101892;0
101896;0
1018980;0
1018988;0
101900;0
101902;0
101904;0
101908;0
1019098;0
101910;1
101912;1
1019144;0
1019174;0
1019178;0
1019192;0
1019338;0
101934;0
1019342;0
1019348;0
1019352;0
101936;0
1019360;0
1019362;0
1019364;0
101938;0
1019380;0
1019390;0
1019462;0
1019480;1
1019488;0
1019490;0
1019510;0
1019516;0
1019520;0
1019524;0
1019528;0
101954;0
1019540;0
1019548;0
101964;1
1019678;0
101968;0
1019684;0
1019688;0
1019704;1
1019768;0
1019782;0
1019806;0
101982;0
1019828;0
101984;1
101988;0
1019906;0
101992;0
1019930;0
1019936;0
1019970;0
1019996;0
1019998;0
1020014;0
1020018;0
102002;0
1020038;0
102006;0
1020074;0
1020098;1
102010;0
1020134;1
1020138;0
102016;0
1020160;0
102018;0
1020188;0
102020;0
1020204;1
1020222;0
1020244;1
1020248;0
1020284;0
1020286;0
1020304;0
1020306;0
1020344;0
1020362;0
1020394;0
1020398;0
1020402;1
1020406;0
1020412;0
1020414;0
1020416;0
1020430;0
102044;0
1020450;0
102048;0
1020484;0
1020498;0
102050;0
1020512;0
1020516;0
1020518;0
102052;0
1020528;0
1020538;0
1020540;0
1020544;0
1020560;1
1020584;0
102060;0
1020622;0
1020688;0
102070;0
102078;0
1020916;0
1020934;0
1020940;0
1020944;0
1020948;0
1020954;0
1020958;0
1020960;0
1020970;0
1020972;0
1020974;0
102098;0
1020982;0
1020988;0
1020998;0
1021000;0
1021006;0
1021012;0
1021018;0
1021020;0
1021028;0
1021044;0
1021050;0
1021116;0
1021124;0
1021138;0
1021146;0
1021164;0
1021166;0
1021178;0
102118;0
1021186;0
1021194;0
1021198;0
1021200;0
1021212;0
1021216;0
1021218;0
1021220;0
1021222;0
1021224;1
1021226;0
1021240;0
1021242;0
1021244;0
1021250;0
1021280;0
1021284;0
1021288;0
1021306;0
1021324;0
102134;1
1021346;0
1021348;0
1021356;0
1021358;0
102136;0
1021360;1
1021362;0
1021368;0
1021374;0
1021376;0
1021380;0
1021384;0
102140;1
1021402;0
1021418;0
1021432;0
1021440;0
1021448;0
1021458;0
102146;0
1021470;0
1021476;0
1021480;0
1021490;0
1021496;0
1021506;0
1021518;0
102152;0
1021552;0
102156;0
1021610;0
1021612;1
1021614;0
102162;0
102164;0
1021648;0
1021654;0
1021660;0
1021666;1
1021696;0
102170;0
1021704;0
1021726;0
1021732;0
1021744;0
1021746;0
1021754;0
1021756;0
1021760;0
1021766;0
1021770;0
102178;0
102180;0
1021828;0
1021830;0
1021832;0
1021848;1
102188;0
1021900;0
1021906;0
1021910;0
102192;0
102194;0
102196;0
1021966;0
1021968;0
1021976;0
1021978;0
1022002;0
1022022;0
102204;0
102206;0
1022064;0
1022070;1
1022072;0
1022078;0
1022090;0
1022092;0
1022134;0
1022152;0
1022154;0
102216;0
1022164;0
1022180;0
1022200;0
1022202;0
1022216;0
102226;1
1022260;0
102228;1
1022282;0
102230;0
1022300;0
1022304;0
1022308;0
1022314;0
1022318;0
1022354;0
1022370;0
1022378;0
1022396;0
102240;0
1022426;0
1022428;0
102244;0
1022468;0
1022480;0
1022486;0
1022498;0
102252;1
1022526;0
1022530;0
